Id,DateTime,Title,Artist,Likes,Comments,Streams,Position
1686552632282,2023-06-12 06:50:27,Pinguini Tattici Nucleari - Rubami la Notte (Official Video),Pinguini Tattici Nucleari,13602,277,1204005,36
1686552633298,2023-06-12 06:50:27,Noizy x Stresi - Medalioni (Official Video),Noizy x Stresi,108559,4753,14539009,37
1686552627829,2023-06-12 06:50:27,Rosa Chemical- Bdope - MADE IN ITALY,Rosa Chemical- Bdope,129015,4124,20663424,38
1686552627744,2023-06-12 06:50:27,Tedua - Intro La Divina Commedia (Official Video),Tedua,81099,3502,1554020,39
1686552633624,2023-06-12 06:50:27,Fred De Palma - Extasi (Official Video),Fred De Palma,110699,1581,39052550,40
1686552631133,2023-06-12 06:50:27,Emis Killa- Sfera Ebbasta - ON FIRE (paid in full),Emis Killa- Sfera Ebbasta,24436,559,1996625,41
1686552629060,2023-06-12 06:50:27,Tedua - Diluvio A Luglio (feat. Marracash) [Official Lyrics Video],Tedua,10416,216,498754,42
1686552630387,2023-06-12 06:50:27,The Kolors - ITALODISCO (Lyric Video),The Kolors,9629,405,1352611,43
1686552635068,2023-06-12 06:50:27,Black Eyed Peas- Daddy Yankee - BAILAR CONTIGO (Official Music Video),Black Eyed Peas- Daddy Yankee,173315,11142,26112145,44
1686552633422,2023-06-12 06:50:27,Tedua - Bagagli (Improvvisazione) [Official Lyrics Video],Tedua,10680,275,482892,45
1686552633380,2023-06-12 06:50:27,Medy feat. Capo Plaza - Arai (Official Video),Medy feat. Capo Plaza,33628,480,5644772,46
1686552635507,2023-06-12 06:50:27,Emma - MEZZO MONDO,Emma,13562,865,1504834,47
1686552629804,2023-06-12 06:50:27,wax - Anni 70 (Official Visual Video),wax,12542,470,1278832,48
1686552627895,2023-06-12 06:50:27,Tedua - Anime Libere (feat. Rkomi- Bresh) [Official Lyrics Video],Tedua,8940,163,521406,49
1686552633640,2023-06-12 06:50:27,Luiz Ejlli - Përjetësisht (Lyric Video),Luiz Ejlli,88245,5329,4401751,50
1686554430987,2023-06-12 07:20:37,Annalisa - Mon Amour (Official Video),Annalisa,113129,5978,23862787,1
1686554437278,2023-06-12 07:20:37,Angelina Mango - Ci pensiamo domani (Official Lyric Video),Angelina Mango,60531,1670,9153994,2
1686554433560,2023-06-12 07:20:37,AVA- ANNA- Capo Plaza - VETRI NERI (Official Visual),AVA- ANNA- Capo Plaza,45755,705,4830057,3
1686554438083,2023-06-12 07:20:37,Marco Mengoni - Due Vite (Official Video - Sanremo 2023 – Eurovision 2023),Marco Mengoni,361004,14804,69082746,4
1686554438255,2023-06-12 07:20:37,BLANCO- MINA - Un Briciolo Di Allegria,BLANCO- MINA,112897,4575,16433143,5
1686554435895,2023-06-12 07:20:37,Geolier - COME VUOI (Official Video),Geolier,87512,1024,17665605,6
1686554430421,2023-06-12 07:20:37,Lazza - CENERE,Lazza,245205,6105,46569741,7
1686554433636,2023-06-12 07:20:37,Tedua - Hoe (feat. Sfera Ebbasta) [Official Lyrics Video],Tedua,29108,739,1852917,8
1686554429431,2023-06-12 07:20:37,Geolier - IL MALE CHE MI FAI (Visual Video) ft. Marracash,Geolier,66061,890,12902717,9
